,COMUNSVOIM,2013_share_mortes_criança,2013_share_mortes_jovem,2013_share_mortes_meia-idade,2013_share_mortes_idoso,2013_share_mortes_X,2013_share_mortes_Y,2013_share_mortes_R,2013_share_mortes_Outro,2014_share_mortes_criança,2014_share_mortes_jovem,2014_share_mortes_meia-idade,2014_share_mortes_idoso,2014_share_mortes_X,2014_share_mortes_Y,2014_share_mortes_R,2014_share_mortes_Outro,2015_share_mortes_criança,2015_share_mortes_jovem,2015_share_mortes_meia-idade,2015_share_mortes_idoso,2015_share_mortes_X,2015_share_mortes_Y,2015_share_mortes_R,2015_share_mortes_Outro,2016_share_mortes_criança,2016_share_mortes_jovem,2016_share_mortes_meia-idade,2016_share_mortes_idoso,2016_share_mortes_X,2016_share_mortes_Y,2016_share_mortes_R,2016_share_mortes_Outro,2017_share_mortes_criança,2017_share_mortes_jovem,2017_share_mortes_meia-idade,2017_share_mortes_idoso,2017_share_mortes_X,2017_share_mortes_Y,2017_share_mortes_R,2017_share_mortes_Outro,2018_mortes_total,2018_mortes_mulher,2018_share_mortes_criança,2018_share_mortes_jovem,2018_share_mortes_meia-idade,2018_share_mortes_idoso,2018_share_mortes_X,2018_share_mortes_Y,2018_share_mortes_R,2018_share_mortes_Outro,id,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,2013_mortes_total_norm,2013_mortes_mulher_norm,2014_mortes_total_norm,2014_mortes_mulher_norm,2015_mortes_total_norm,2015_mortes_mulher_norm,2016_mortes_total_norm,2016_mortes_mulher_norm,2017_mortes_total_norm,2017_mortes_mulher_norm
492,510560,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510560,14973,15206,15433,15654,15870,0.0002003606491685033,6.678688305616777e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
493,510620,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510620,4252,4139,4029,3931,3827,0.0007055503292568204,0.00047036688617121356,0.00024160425223483932,0.0,0.0,0.0,0.0,0.0,0.0,0.0
494,510625,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510625,20143,20273,20399,20519,20639,0.00014893511393536217,4.964503797845405e-05,0.00014798007201696837,0.0,0.0,0.0,9.747063697061261e-05,0.0,9.690391976355444e-05,0.0
495,510629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510629,10801,10823,10844,10864,10884,9.258401999814833e-05,0.0,0.0,0.0,0.00018443378827001107,9.221689413500554e-05,0.0,0.0,0.0,0.0
496,510650,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510650,32053,32092,32131,32205,32241,9.359498330889465e-05,6.23966555392631e-05,0.0002181228966720678,3.11604138102954e-05,3.1122591889452555e-05,0.0,3.105107902499612e-05,0.0,0.0,0.0
497,510675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,33.0,4.0,0.25,0.25,0.5,0.0,1.0,0.0,0.0,0.0,510675,42605,42924,43235,43538,43832,2.347142354183781e-05,0.0,0.00018637592023110615,0.0,0.00020816468139239042,4.6258818087197875e-05,0.00032155817906196887,0.0,0.0003422157327979558,2.2814382186530387e-05
498,510704,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857,0.0,1.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.6666666666666666,0.1111111111111111,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.6,0.4,0.0,0.8,0.2,0.0,0.0,45.0,3.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,510704,55451,56450,57423,58370,59293,0.0009738327532416007,5.4101819624533373e-05,0.0012046058458813108,0.00010628875110717449,0.0006965849920763458,0.0001219023736133605,0.001130717834504026,0.00015418879561418538,0.000927596849543791,8.432698632216282e-05
499,510720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510720,5063,5054,5044,5028,5019,0.00019751135690302193,0.0,0.00019786307874950534,0.0,0.0005947660586835844,0.0,0.0,0.0,0.0,0.0
500,510730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510730,18339,18701,19052,19395,19728,5.452860025083156e-05,0.0,0.00010694615261215978,0.0,0.00015746378332983415,0.0,0.0001031193606599639,0.0,0.0004562043795620438,5.0689375506893756e-05
501,510760,0.0,0.23076923076923078,0.6153846153846154,0.15384615384615385,0.6923076923076923,0.0,0.0,0.0,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.4,0.5,0.1,0.7,0.1,0.0,0.0,0.0,0.4444444444444444,0.5555555555555556,0.0,0.6666666666666666,0.1111111111111111,0.0,0.0,0.0,0.375,0.625,0.0,0.875,0.0,0.0,0.125,75.0,9.0,0.0,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.6666666666666666,0.0,0.0,0.0,510760,208019,211718,215320,218899,222316,0.0007595460030093404,6.249429138684446e-05,0.0006990430667208268,3.3062847750309374e-05,0.0006455508080995728,4.644250417982538e-05,0.0006258594146158731,4.1114852055057355e-05,0.0004992892999154357,3.5984814408319686e-05
